1	 0xa927e1e1e044ca1d9fe1854585003477331fe2af	5,872,783.994694337157985967	20.7697%
$2,147,688.85	
2	 0x8577273fb3b72306f3a59e26ab77116f5d428daa	5,008,964.265325341970680185	17.7147%
$1,831,788.25	
3	 0x8ccbbcaf58f5422f6efd4034d8e8a3c9120adf79	4,353,170.833319173757345886	15.3954%
$1,591,963.28	
4	 0xf8f5e8b9ee84664695b14862212d8092e16331f6	3,539,000.200268080926050839	12.5160%
$1,294,219.45	
5	 0x343e4f06bf240d22fbdfd4a2fe5858bc66e79f12	1,463,337.690936691730371799	5.1752%
$535,145.52	
6	 0xd3be0e32147ae91378f035ff96f3e2cab96ac48b	1,383,957.52671910158891646	4.8945%
$506,116.04	
7	 0xa049a6260921b5ee3183cfb943133d36d7fdb668	1,177,365.192873285197027405	4.1639%
$430,564.81	
8	 0xb536c1f9a157b263b70a9a35705168acc0271742	478,293.163415094275441152	1.6915%
$174,912.77	
9	 0x9bfcf685e641206115dadc0c9ab17181e1d4975c	429,645.427285375599056478	1.5195%
$157,122.19	
10	 0xd95cab0ed89269390f2ad121798e6092ea395139	423,057.440753474687906688	1.4962%
$154,712.95	
11	 Beamswap: Beamchef	408,865.853816446403743793	1.4460%
$149,523.06	
12	 Beamswap: GLINT - GLMR LP	388,084.522284441897707688	1.3725%
$141,923.29	
13	 0xb929914b89584b4081c7966ac6287636f7efd053	359,611.71168454202027951	1.2718%
$131,510.72	
14	 0x7f5ac0fc127bcf1eaf54e3cd01b00300a0861a62	339,196.076862540763566914	1.1996%
$124,044.68	
15	 0x4c5f99045af91d2b6d4fa0ea89fc47cf42711555	220,446.074004585756460037	0.7796%
$80,617.57	
16	 0x26a2abd79583155ea5d34443b62399879d42748a	183,722.591071814618602385	0.6498%
$67,187.72	
17	 0x8b6784b18d534b98d738719f05b0a8a54bb4c098	182,054.169382544001344101	0.6439%
$66,577.57	
18	 0x6775ff3828a19eb5926c0c4d572183ca15aa4c08	135,968.503584568277057616	0.4809%
$49,723.95	
19	 0x9e7f014604574bfe5fefdfe5015563f2a2ba2b22	97,472.287650790710688909	0.3447%
$35,645.81	
20	 0xd8fbdef502770832e90a6352b275f20f38269b74	88,105.539945131596661546	0.3116%
$32,220.37	
21	 0x555b74dafc4ef3a5a1640041e3244460dc7610d1	88,066.161882868583387982	0.3115%
$32,205.97	
22	 Solarflare: Flare Distributor	84,613.182929984460492614	0.2992%
$30,943.21	
23	 0x2afab635ea2dc4b498ef1c00e63b7a7dba9c93c6	72,065.707816805444085248	0.2549%
$26,354.57	
24	 0xf4c10263f2a4b1f75b8a5fd5328fb61605321639	67,971.877323370897238232	0.2404%
$24,857.45	
25	 0x00870b0e6994ffb142a91173a882d2f6a9a8ac4a	64,733.242813541422031832	0.2289%
$23,673.08	
26	 0x3a82f4da24f93a32dc3c2a28cfa9d6e63ec28531	60,583.513010601203312187	0.2143%
$22,155.51	
27	 0xd3dfb90f7996a97f9f394e130342485e37dd28f7	59,016.974467192793799158	0.2087%
$21,582.63	
28	 0x2f412c140080039eaf9de01c95e84cfb1c8d98ad	56,468.391881930672298353	0.1997%
$20,650.60	
29	 0xb76543ab05b208ee4d0eccc435dfb6ef00d96142	49,053.86711630216899834	0.1735%
$17,939.10	
30	 0xb822eef11c9478f6155a4161a9ed847e89759aa3	46,059.41904101991121557	0.1629%
$16,844.02	
31	 0x420aaa13722a191765d86bc55212a54d9f8b5ceb	40,243.929035246429456987	0.1423%
$14,717.29	
32	 0x1eb802dfcc9e6d0b553c99c461f27d4000b46cef	40,166.780980819959402351	0.1421%
$14,689.07	
33	 0x367c36dae9ba198a4fee295c22bc98cb72f77fe1	38,815.005134568570321768	0.1373%
$14,194.73	
34	 0xd341d2191bb0f84e5c29cb301def5753dab1ac04	38,167.871046844237562551	0.1350%
$13,958.07	
35	 0x4efb208eeeb5a8c85af70e8fbc43d6806b422bec	37,371.936378413478349494	0.1322%
$13,666.99	
36	 0x14ef44dfc4e480b6eeea871cf1c1a171802d7cec	36,839.037493832951988439	0.1303%
$13,472.11	
37	 0x49a1cc58dcf28d0139daea9c18a3ca23108e78b3	33,720.970288122215819313	0.1193%
$12,331.83	
38	 0xa226877393fc4e3b5f2b43a1bae3c5d72c918c2d	32,177.060031244712074044	0.1138%
$11,767.22	
39	 0xab89ed43d10c7ce0f4d6f21616556aecb71b9c5f	31,527.57491248199144873	0.1115%
$11,529.70	
40	0xc32237ec0e62674654fef1b76f3084b12b4522d6	29,003.500051011736832585	0.1026%
$10,606.64	
41	0x536f53eb2b03db4cb64b4a78c3bb87e898456017	28,413.443516743798402177	0.1005%
$10,390.85	
42	 0x918dbf41fcde5c9eaf8a772425542587a930e643	25,540.359007305233942482	0.0903%
$9,340.16	
43	 0xa6baa075fb5cf4721b43fe068ee81b56f34fa06d	24,303.03380069205802565	0.0860%
$8,887.67	
44	 0x9d19edbfd29d2e01537624b25806493da0d73bbe	24,049.825536228912208119	0.0851%
$8,795.07	
45	 0x015c6b2d98969e3bf066110769e53d734e48ebf6	19,150.895302788517291326	0.0677%
$7,003.52	
46	0x8934cce44d93e40c58994866e561c07f40f5d5d6	18,791.252051494487691872	0.0665%
$6,872.00	
47	 StellaSwap: Distributor	18,727.326662876649488373	0.0662%
$6,848.62	
48	0x51aaa901e7e9dd308d027daec278864a0373134f	18,262.576309582431918169	0.0646%
$6,678.66	
49	0xa2566f739819a3d6c2b6dbf7fe4841abf08a3736	17,308.39999999999983616	0.0612%
$6,329.72	
50	 0x6f71389426efe6ff4e357ca6dd012b210a6a3c9c	17,226.989302236427690093	0.0609%
$6,299.94
51	 0x94f9eb420174b8d7396a87c27073f74137b40fe2	16,909.94951491643245507	0.0598%
$6,184.00	
52	0x8cedcf5a14ce21e814b887a4dfb7d611afd1a9b8	16,892.999999999999967232	0.0597%
$6,177.80	
53	 0xa65949fa1053903fcc019ac21b0335aa4b4b1bfa	16,303.159000746847152302	0.0577%
$5,962.10	
54	 0xbce4f60832b06e6aa35b832b2549361d9b6861f1	16,280.291971947062477444	0.0576%
$5,953.74	
55	 0xb7435868da556c611aa193c6d25838da73a9d780	16,226.101756916662891839	0.0574%
$5,933.92	
56	 0x321e45b7134b5ed52129027f1743c8e71da0a339	15,837.645136036761782755	0.0560%
$5,791.86	
57	 0x32b710dbf797c1b16498b0fcd83929bb19897529	15,009.234908003113506773	0.0531%
$5,488.91	
58	 0x68a86d58e097d665b063e1111ca5cb92b24dbf25	14,616.134911998661687935	0.0517%
$5,345.15	
59	0xac4bc29c602387287db7a7f554e9190d4043bde1	14,258.678221891138886979	0.0504%
$5,214.43	
60	0x075b8a0d51167fde861d8e532f21a08faee19976	14,115.512595826446890859	0.0499%
$5,162.07	
61	 0x01834cf26717f0351d9762cc9cca7dc059d140df	12,597.171844292771487517	0.0446%
$4,606.81	
62	 0x50b57b1cf97d0cc20690a14f263a8afc55cbee3d	12,174.773295553850996129	0.0431%
$4,452.34	
63	 0x6ba38f006afe746b9a0d465e53ab4182147ac3d7	11,620.952179311851795379	0.0411%
$4,249.81	
64	 0xfd0468f209a9f99a4bc8beb26816dc333dd7f1f8	11,501.061114657813049732	0.0407%
$4,205.96	
65	 0x68f9f8ffd44f20a8bc4ef81d276228af622a3083	10,118.510978514150861278	0.0358%
$3,700.36	
66	0x0a138234481bd0f24f1fdff69f93f66ddd23149e	9,624.145779542148288225	0.0340%
$3,519.57	
67	0x654d24ee1cc2c115c799332ffd0a039705e085b0	8,953.75	0.0317%
$3,274.40	
68	 0xefb8f5a7479a6532a71f70919c00a18ae8a164d6	8,642.963134962822451811	0.0306%
$3,160.75	
69	0x878c60feb0a4891586a4e7f84109d374a3d5b2d4	8,394.608969857003434973	0.0297%
$3,069.93	
70	0x1d3286a3348fa99852d147c57a79045b41c4f713	7,920.371178773854720125	0.0280%
$2,896.50	
71	0xbbfc1dc2502bd8b0d00b0b78e8297409f5b4ccc1	7,800	0.0276%
$2,852.48	
72	0x8df6af73e1d9993168899a48e72e26b5c56dab32	7,500	0.0265%
$2,742.77	
73	0xa66af16184134b48cbf2eb2918ed802ad7d244aa	7,438	0.0263%
$2,720.09	
74	0x6048c919f9131e68587a157c6ad720b47358ca06	7,432.687810877284339755	0.0263%
$2,718.15	
75	0x8872f5a6c88845743fa738dac3795e309f646e96	7,247.949979985633377053	0.0256%
$2,650.59	
76	0x0b52086c689d9441889026f168c15f8478592528	7,233.1955	0.0256%
$2,645.19	
77	0x4872118b19cea01704c705c4912456906f109c0b	7,228.297222058077677183	0.0256%
$2,643.40	
78	 0x16f7cf04fa6405efdabc0a9866477a974d7a6d53	6,222.798867563346734155	0.0220%
$2,275.69	
79	 0xa0143c896408b0804bd05dc2cfb0bff8c915f1a0	6,130.40068430161123565	0.0217%
$2,241.90	
80	0x02468bb37edff152f12144444a04b4ab78712ed7	6,112.7904	0.0216%
$2,235.46	
81	 0x76ac541d428444129def51873f3b26f0aba9b548	6,014.3637526765197226	0.0213%
$2,199.46	
82	0x596a12806891186a6288ac0235be34a7905c2eff	5,929.85087273170936874	0.0210%
$2,168.56	
83	 0xe28459075c806b1bfa72a38e669ccd6fb4125f6a	5,713.696470183374638552	0.0202%
$2,089.51	
84	0x4eedfa535a22f63f982f8feac424a06df125f8b3	5,550.604285284129837487	0.0196%
$2,029.87	
85	0xda98266351677055cf296625fb2b0ce0e983265e	5,239.367979716812214005	0.0185%
$1,916.05	
86	 0x919410b356cb5e7147990198c5852df79dfec8e0	5,131.211721017123406493	0.0181%
$1,876.49	
87	 0xa4e4aa5328bc1224cdfef6df994958531d3833b8	5,032.604873677719455447	0.0178%
$1,840.43	
